timestamp_utc,event_type,model_name,model_format,vertex_count,file_size_bytes,interaction_type,input_to_camera_change_ms,viewport_width,viewport_height,user_agent
2026-03-22T07:49:10.276933+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:10.626698+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,44.9,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:12.086479+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,40.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:20.901556+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,1.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:21.632565+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.3,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:22.552536+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:23.407476+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,10,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:23.476554+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,25.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:23.516767+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,35,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:24.071875+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.4,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:24.931519+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.3,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:49:25.501936+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,6.3,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
